Unnamed: 0,hotel_name,hotel_address,latitude,longitude
76,La Bastide du Calalou; BW Signature Collection,"893 Route de Baudinard, 83630 Moissac-Bellevue, France",43.65436638,6.16950452
77,Hôtel des Alpes,"19, Avenue des Alpes, 04800 Gréoux-les-Bains, France",43.75869671,5.88205487
78,Villa Castellane,"171 Avenue des Thermes, 04800 Gréoux-les-Bains, France",43.758087,5.890188
79,Hotel & Spa des Gorges du Verdon,"Route de La Maline, 04120 La Palud sur Verdon, France",43.77533343,6.34465277
80,Adagio Grenoble Centre,"6 rue Auguste Genin, 38000 Grenoble, France",45.18960902,5.7121785
81,COWOOL GRENOBLE,"1 Avenue d'Innsbruck, 38100 Grenoble, France",45.1586663,5.734091
82,Residhome Grenoble Caserne De Bonne,"21 Rue Lazare Carnot, 38000 Grenoble, France",45.18346987,5.72433829
83,The Originals Residence KOSY appart'hôtels - Les Cèdres,"Avenue M. Berthelot, 38100 Grenoble, France",45.17894378,5.73206306
84,Apparthotel Le Hüb Grenoble,"25 Avenue Doyen Louis Weil, 38000 Grenoble, France",45.192873,5.711917
85,Residhotel Grenette,"12 Rue De Palanka, 38000 Grenoble, France",45.19056363,5.72448447
86,Residhotel Le Central'Gare,"8 Place de la Gare, 38000 Grenoble, France",45.19085898,5.71572438
87,Novotel Grenoble Centre,"7 Place Robert Schuman, 38000 Grenoble, France",45.190695,5.71259558
88,ibis Grenoble Gare,"27 Quai Claude Bernard, 38000 Grenoble, France",45.192898,5.71739092
89,Mercure Grenoble Centre Alpotel,"12 Boulevard Maréchal Joffre, 38000 Grenoble, France",45.18327326,5.72969198
90,Hôtel d’Angleterre Grenoble Hyper-Centre,"5, place Victor Hugo, 38000 Grenoble, France",45.18920402,5.72537228
91,Hotel Mercure Grenoble Centre Président,"11, Rue Général Mangin, 38100 Grenoble, France",45.17849379,5.72029755
92,Hotel Europole,"29 Rue Pierre Sémard, 38000 Grenoble, France",45.19023755,5.71266398
93,Maison Barbillon Grenoble,"10, Rue Barbillon, 38000 Grenoble, France",45.1907933,5.71669668
94,"Le Grand Hôtel Grenoble, BW Premier Collection by Best Western","5 rue de la Republique, 38000 Grenoble, France",45.19081504,5.72854802
95,Okko Hotels Grenoble Jardin Hoche,"23 rue Hoche, 38000 Grenoble, France",45.18495018,5.72598981
96,Les Appartements de Grenoble,"15 Rue Maurice Gignoux, 38000 Grenoble, France",45.19581084,5.72544678
97,ibis Styles Grenoble Centre Gare,"25 Avenue Félix Viallet, 38000 Grenoble, France",45.19089537,5.71967997
98,Hôtel de l'Europe Grenoble hyper-centre,"22 Place Grenette, 38000 Grenoble, France",45.19035711,5.72733097
99,Park Hôtel Grenoble - MGallery,"10 Place Paul Mistral, 38000 Grenoble, France",45.18410131,5.73294818
100,RockyPop Grenoble Hotel,"9 Rue de Strasbourg, 38000 Grenoble, France",45.186911,5.731293
101,RockyPop Grenoble Appartements,"11 Rue de Strasbourg, 38000 Grenoble, France",45.186804,5.73157
102,Le Mokca,"18-20, Avenue de Verdun, 38240 Meylan, France",45.2036571,5.76178998
103,"The Originals City, Hôtel Villancourt, Grenoble Sud (Inter-Hotel)","98, cours Saint André, 38800 Le Pont-de-Claix, France",45.13900627,5.70299327
104,Hôtel Le Néron - Logis,"8 Avenue De La Louisiane, Saint Egreve Le Fontanil, 38120 Fontanil-Cornillon, France",45.24524515,5.65733671
105,Appart'City Classic Aix-en-Provence - La Duranne,"300 Avenue Du Grand Vallat, 13290 Aix-en-Provence, France",43.49249327,5.35120279
106,Adonis Arc Hotel Aix,"40 Av Henri Malacrida Val Saint André, 13100 Aix-en-Provence, France",43.51371445,5.4702124
107,Odalys City Aix en Provence L'Atrium,"15 Cours Gambetta - Espace Forbin, 13100 Aix-en-Provence, France",43.52409101,5.45521617
108,Résidence Les Académies Aixoise,"85 Rue Paul Sabatier, 13090 Aix-en-Provence, France",43.52724,5.404795
109,Les appartements du Clos de la Chartreuse By Ateya,"42 Route de Galice, 13090 Aix-en-Provence, France",43.5300688,5.42585107
110,Odalys City Aix en Provence Le Clos de la Chartreuse,"42, route de Galice, 13090 Aix-en-Provence, France",43.530003,5.42569578
111,Zenitude Hôtel-Résidences Le Tholonet,"445, Allée François Aubrun, 13100 Aix-en-Provence, France",43.51184318,5.48670664
112,Novotel Aix-en-Provence Beaumanoir,"Rue Marcel Arnaud, 13100 Aix-en-Provence, France",43.5134822,5.46591148
113,Adonis Aix en Provence,"CD10 route de Berre, 13510 Aix-en-Provence, France",43.54124585,5.37295818
114,Best Western Le Galice Centre Ville,"5 Route de Galice, 13090 Aix-en-Provence, France",43.5280311,5.43435931
115,The Originals Résidence Aix Schuman,"1 Avenue Robert Schuman, 13090 Aix-en-Provence, France",43.5205148,5.4471929
116,Novotel Aix-en-Provence Pont de L'Arc,"Avenue Arc de Meyran, 13100 Aix-en-Provence, France",43.51169339,5.45698643
117,Aparthotel Adagio Aix-en-Provence Centre,"3/5, rue des Chartreux, 13100 Aix-en-Provence, France",43.52890621,5.44086903
118,LES JARDINS D'ATHENA,"3828 Route de Berre, 13100 Aix-en-Provence, France",43.543386,5.373794
119,Catherine Studios,"25 Rue Lisse Saint-Louis, 13100 Aix-en-Provence, France",43.530269,5.451873
120,Les Terrasses D'Aix - Studio avec Grande Terrasse privée,"Résidence Le Set Home, route de Berre 3828, 13510 Aix-en-Provence, France",43.54134102,5.37316071
121,Escale Oceania Aix-en-Provence,"12 Avenue de la Cible, 13100 Aix-en-Provence, France",43.51275995,5.46111703
122,Casa Hotel,"4 rue Irma Moreau, 13100 Aix-en-Provence, France",43.52741865,5.44165731
123,Le Mas des Ecureuils,"1170 Petite Route des Milles, 13090 Aix-en-Provence, France",43.51133967,5.39091155
124,La Caravelle,"29, boulevard du Roi René, 13100 Aix-en-Provence, France",43.52485921,5.45370072
125,Studios Nuitée en Provence,"3828 Route de Berre - Résidence Adonis, 13100 Aix-en-Provence, France",43.54358226,5.37343823
126,Odalys City Aix en Provence Les Floridianes,"24 Boulevard Albert Charrier, 13090 Aix-en-Provence, France",43.52133318,5.44477701
127,Negrecoste Hôtel & Spa,"33, Cours Mirabeau, 13100 Aix-en-Provence, France",43.52684969,5.44901088
128,LA GRACETTE Les Studios,"Les studios 830 Route de l'Enfant, 13290 Aix-en-Provence, France",43.49041,5.3839
129,Hôtel Birdy by Happyculture,"775, Avenue Guillibert-De-La-Lauzière Pichaury Ii, Les Milles, 13591 Aix-en-Provence, France",43.48142972,5.3656143
130,Résidence Pierre & Vacances Premium Haguna,"17, Avenue De La Reine Victoria, 64200 Biarritz, France",43.48534536,-1.5525806
131,Sure Hotel by Best Western Biarritz Aeroport,"24 boulevard marcel dassault, 64200 Biarritz, France",43.4722079,-1.53489947
132,Campanile Biarritz,"43 rue Chapelet - Boulevard Marcel Dassault RN 10 Rond Point du mousse, 64200 Biarritz, France",43.46638758,-1.54004395
133,Hôtel Maïtagaria,"34 Avenue Carnot, 64200 Biarritz, France",43.47897745,-1.56064063
134,Hôtel Oxo,"38 Avenue De Verdun, 64200 Biarritz, France",43.48176836,-1.55452318
135,Hotel Barnetche,"5 Avenue Charles Floquet, 64200 Biarritz, France",43.47991653,-1.55614123
136,Nemea Appart Hotel Les Hauts de Milady Biarritz,"24 Avenue de la Milady, 64200 Biarritz, France",43.4702245,-1.5678466
137,Radisson Blu Hotel Biarritz,"1 Carrefour Helianthe, 64200 Biarritz, France",43.47827192,-1.56469077
138,Hôtel Florida,"3-5 place Sainte Eugenie, 64200 Biarritz, France",43.48222961,-1.56399071
139,Hôtel Mirano,"11 Avenue Pasteur, 64200 Biarritz, France",43.47436556,-1.55264899
140,Résidence Mer & Golf Eugénie,"54-56 Rue de Madrid, 64200 Biarritz, France",43.46963652,-1.56949058
141,ALFRED HOTELS Les Halles - Ex Hotel Anjou,"18, Rue Gambetta, 64200 Biarritz, France",43.4816944,-1.56308413
142,Résidence Biarritz Ocean,"10, Rue Etienne Ardoin, 64200 Biarritz, France",43.48040601,-1.55796111
143,Brit Hotel Marbella,"11 Rue Du Port Vieux, 64200 Biarritz, France",43.48204861,-1.56584948
144,Urban Style Biarritz Le Relais,"44 Avenue de la Marne, 64200 Biarritz, France",43.48405704,-1.54899716
145,Grand Tonic Hotel & SPA NUXE,"58 Avenue Edouard VII, 64200 Biarritz, France",43.48447351,-1.55694455
146,Hotel Saint Julien,"20 Avenue Carnot, 64200 Biarritz, France",43.479139,-1.56227544
147,ibis Styles Biarritz Plage,"30 Avenue de La Milady, 64200 Biarritz, France",43.46889876,-1.5685612
148,Saint Charles Hôtel & Coliving Biarritz,"47 avenue Reine Victoria, 64200 Biarritz, France",43.48538136,-1.54920369
149,"Hôtel Jules Verne, BW Signature Collection","2, rue Guy Petit, 64200 Biarritz, France",43.47853954,-1.5553996
150,Hôtel & Espace Bien-être La Maison du Lierre,"3 avenue du Jardin Public, 64200 Biarritz, France",43.48013354,-1.56076133
151,La Suite,"5 Avenue Edouard VII, 64200 Biarritz, France",43.4836409,-1.558741
152,ALFRED HOTELS Port-Vieux - Ex Georges VI,"Rue du Port Vieux, 64200 Biarritz, France",43.48218971,-1.5663591
153,Mercure Président Biarritz Plage,"18 Place Georges Clémenceau, 64200 Biarritz, France",43.4818647,-1.55975819
154,Best Western Kemaris,"35 Avenue du Maréchal Joffre, 64200 Biarritz, France",43.4765027,-1.56245649
155,Residhome Toulouse Tolosa,"279 avenue Grande Bretagne, 31300 Toulouse, France",43.60693822,1.39923401
156,Résidences Guerlin,"46 Allée Jean Jaurès, 31000 Toulouse, France",43.606603,1.450683
157,Nemea Appart Hotel Toulouse Aéroport,"4 Rue Alain Fournier - St Martin du Touch, 31300 Toulouse, France",43.60777383,1.37139402
158,Zenitude Hôtel-Résidences Toulouse Métropole,"1, Allée Antoine Osete, 31100 Toulouse, France",43.59149221,1.40322983
159,Residhotel Toulouse Centre,"11 avenue de La Garonnette, 31000 Toulouse, France",43.59539161,1.44120499
160,Novotel Toulouse Purpan Aéroport,"23, Impasse de Maubec, 31300 Toulouse, France",43.60553305,1.39876261
161,Appart'City Confort Toulouse Purpan,"4 Impasse de Lisieux, 31300 Toulouse, France",43.59868349,1.39488816
162,COWOOL TOULOUSE,"6 Avenue Hubert Curien, 31100 Toulouse, France",43.5569281,1.4298415
